57,57,55.55,38,32,30,30,65,200,246,246,90,90,93,160,600,960,1210,999,720,470,140,68,70
26,11,11,11,11,11.01,28,205,2700,3000,2489,2415,2415,2489,2862,2989,3200,3499,3286,3200,2750,2489,68,70
26,20,10,10,10,10,1000,2540,3200,3600,3297,2989,2900,3111.66,3300,3400,3499,3600,3600,3499,3290,2900,2000,1600
2090,1995,147,20,10,10,1995,2455,2090,2300,2079,2000,1880,2005,2300,2500,2537,2537,2537,2537,2300,1650,2090,2090
2090,1600,200,200,100,20,1200,2400,2090,2100,1995,1995,1992,1995,2090,2900,3200,2989,2989,2989,2489,2090,2489,2489
2489,500,63,10,10,10,10,99,99,739,990,739,680,1799,2090,2489,3000,3095,3000,2600,2090,1990,2090,1990
2090,1100,300,87,200,200,200,34,1750,2550,2950,2989,2989,2989,2989,2989,3354,3650,3354,3350,3354,2554,2000,2060
2599,2090,1600,1000,1200,2090,2734,3199,4500,6277.54,6520,5164,4948.83,4952.46,4950.04,4951.44,4953.47,6446.5,6417.62,5644,5700,4100,2700,2719
2695,2500,2499,2090,2090,2500,2773.77,3354,4100,4100,3354,2998,2695,2700,3597,4950,5588,7214.22,6591,6529,7100,5900,3200,2988
2735,2695,2695,2499,2650,2695,2900,3500,4950,6031.19,4950,4000,3700,4000,4950,5498.69,5600,7213.39,7000,6637,6837.64,6700,4950,3000
2800,2825.45,2771.37,2755,2770.38,2826.63,3000,3597,5600,6667.31,6824.4,5600,5600,5600,5600,5600,5600,6700,6365.94,6127,6222.8,6688,7302.82,3000
2923.15,2851,2800,2755,2755,2824.78,3000,4300,5600,4950,4200,3829,3500,3597,4700,5499.53,5600,7301.03,7243.43,7000,7297.27,7212.69,7198,3000
2985,2710,2697.58,2699.43,2699.3,2697.38,2750,3100,4000,4950,4700,4098.71,3936,3600,4100.56,4103.2,4900,5600,5600,5300,5600,5150,4900,3000
2720,2669.19,2627.85,2620,2620,2620,2620,2100,3290,3820,3900,3444,3310,3290,3354,3597,3988,4900,4950,4900,4950,4900,3977.49,3000
2720,2499,2499,2499,2499,2619,2820.97,4588.75,6000,4980,4400,3800,3499,3400,3829,4526.09,4900,5100,5150,5029,5000,4671,4028,3000
2699,2499,2499,2090,2499,2699,3000,4680,6000,6517,5677,5000,4200,4200,4488,5150,5509,6500,6400,6500,6400,6343.55,4472.04,3000
2750,2699,2699,2699,2699,2750,3000,5383.67,6400,6074.56,4899,4200,3748,4044.66,4800,5600,5600,7500,7200,6651,6500,6204,4080,3000
2090,1499,1349.5,998,998,1080,2499,3344,4500,6075.14,5806.41,4854.89,4646.98,4200,4500,4582,4853.21,5200,5200,4800,3790,4100,2999,2900
2680,2680,2600,2499,2499,2680,2808.23,3300,4800,6451.78,6500,5023.45,5024.34,5023.16,5025.41,5025.27,5027.45,5800,4950,4590,4590,4200,3800,2923.38
2664,2400,2090,2080,2080,2080,2090,2080,3408,3676,3690,3450,3050,3050,3190,3420,4184,5200,5200,4950,4590,4000,3500,2924.88
2744,2680,2499,2090,2080,2011,2011,1999,2689,2937,2699,2688,2688,2680,2699,3000,4000,4500,4500,4150,4200,3595,3000,2850
2720,2080,2080,1960,2080,2664,2917.44,3580,4500,4299,3499,2720,2720,2720,3280,3799,4484,5800,5150,4490,3720,3500,2720,2750
2600,2090,2090,2000,2090,2400,2890,3941.64,4821.29,6200,4800,3500,3331,3495,3929,4200,5000,6300,6767.52,6100,5200,4205,3100,2823.51
